v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.0 -3.821690135672363e-19 -1.55888357036934e-39 -3.821690135672363e-19 1.0 0.0 0.0 0.0 0.0 3.0278506380323703e-19 2.093787740621161e-39 3.0278506380323703e-19 0.0 2.1678187229025786e-34 2.04105889896284e-23 2.0410588989845182e-23
0.025 2.378684820497379e-06 1.0866716070381247e-24 2.378684820497379e-06 1.0 0.0 0.0 0.0 0.0 -2.3786848204977117e-06 -2.9246713049825997e-33 -2.3786848204977117e-06 0.0 -3.426344416028495e-21 -6.597831084344178e-22 -4.0861275244629125e-21
0.05 4.325643855420155e-06 1.5055291201297383e-24 4.325643855420155e-06 1.0 0.0 0.0 0.0 0.0 -4.325643855419773e-06 -5.3274859627062425e-33 -4.325643855419773e-06 0.0 -4.68704219423051e-21 -1.257661763611304e-21 -5.944703957841814e-21
0.07500000000000001 5.758948740755461e-06 1.667792761271211e-24 5.758948740755461e-06 1.0 0.0 0.0 0.0 0.0 -5.75894874075524e-06 -7.10318488958706e-33 -5.75894874075524e-06 0.0 -5.057704629954606e-21 -1.5637557606916391e-21 -6.6214603906462455e-21
0.1 6.752582765117449e-06 1.731174044198281e-24 6.752582765117449e-06 1.0 0.0 0.0 0.0 0.0 -6.75258276511809e-06 -8.338850439029436e-33 -6.75258276511809e-06 0.0 -5.199000544053242e-21 -2.105973606739451e-21 -7.304974150792692e-21
0.125 7.417569766454591e-06 1.7562814001274618e-24 7.417569766454591e-06 1.0 0.0 0.0 0.0 0.0 -7.41756976645462e-06 -9.168829615613253e-33 -7.41756976645462e-06 0.0 -5.313437043493463e-21 -2.3533205387419044e-21 -7.666757582235367e-21
0.15 7.856957853301903e-06 1.7664714457178524e-24 7.856957853301903e-06 1.0 0.0 0.0 0.0 0.0 -7.856957853302097e-06 -9.719134804098384e-33 -7.856957853302097e-06 0.0 -5.42094444363001e-21 -2.7279122464583447e-21 -8.148856690088355e-21
0.175 8.156857729007204e-06 1.7708072286248805e-24 8.156857729007204e-06 1.0 0.0 0.0 0.0 0.0 -8.156857729006843e-06 -1.0095941396792521e-32 -8.156857729006843e-06 0.0 -5.524620454574321e-21 -2.9330300644395367e-21 -8.457650519013858e-21
0.19999999999999998 8.378724875284809e-06 1.7728345728881627e-24 8.378724875284809e-06 1.0 0.0 0.0 0.0 0.0 -8.378724875285061e-06 -1.0375543105040632e-32 -8.378724875285061e-06 0.0 -5.626479759106631e-21 -3.2350724729768773e-21 -8.861552232083507e-21
0.22499999999999998 8.556853825267576e-06 1.7739388042701823e-24 8.556853825267576e-06 1.0 0.0 0.0 0.0 0.0 -8.556853825267523e-06 -1.0600635223840465e-32 -8.556853825267523e-06 0.0 -5.727571106848651e-21 -3.4981259337848e-21 -9.225697040633451e-21
0.24999999999999997 8.707669468765024e-06 1.7746581603738387e-24 8.707669468765024e-06 1.0 0.0 0.0 0.0 0.0 -8.707669468765494e-06 -1.0791709201826291e-32 -8.707669468765494e-06 0.0 -5.828392886574718e-21 -3.7263328585811776e-21 -9.554725745155896e-21
0.27499999999999997 8.839579725756101e-06 1.7752043157736285e-24 8.839579725756101e-06 1.0 0.0 0.0 0.0 0.0 -8.83957972575526e-06 -1.0959249979500258e-32 -8.83957972575526e-06 0.0 -5.929201592804897e-21 -4.229099908769246e-21 -1.0158301501574143e-20
0.3 8.957285548215552e-06 1.775662522828634e-24 8.957285548215552e-06 1.0 0.0 0.0 0.0 0.0 -8.957285548215079e-06 -1.1109125416540422e-32 -8.957285548215079e-06 0.0 -6.030143404003624e-21 -4.413744645837714e-21 -1.0443888049841339e-20
0.325 9.0635313163832e-06 1.7760682004216602e-24 9.0635313163832e-06 1.0 0.0 0.0 0.0 0.0 -9.063531316383259e-06 -1.1244753979633334e-32 -9.063531316383259e-06 0.0 -6.13130838330045e-21 -4.75622947202244e-21 -1.0887537855322891e-20
0.35000000000000003 9.160282607492714e-06 1.776437686760524e-24 9.160282607492714e-06 1.0 0.0 0.0 0.0 0.0 -9.160282607493666e-06 -1.1368578422205813e-32 -9.160282607493666e-06 0.0 -6.232765443352012e-21 -4.7587162433528915e-21 -1.0991481686704904e-20
0.37500000000000006 9.249087863284657e-06 1.776779682438662e-24 9.249087863284657e-06 1.0 0.0 0.0 0.0 0.0 -9.249087863283019e-06 -1.1482509547549818e-32 -9.249087863283019e-06 0.0 -6.33457234996333e-21 -5.1864567560301736e-21 -1.1521029105993504e-20
0.4000000000000001 9.331214241541814e-06 1.7770996011339837e-24 9.331214241541814e-06 1.0 0.0 0.0 0.0 0.0 -9.331214241540379e-06 -1.1588154546280922e-32 -9.331214241540379e-06 0.0 -6.436778832261016e-21 -5.4439536851706786e-21 -1.1880732517431693e-20
0.4250000000000001 9.407745740010668e-06 1.7774013727118704e-24 9.407745740010668e-06 1.0 0.0 0.0 0.0 0.0 -9.407745740011352e-06 -1.1686850023564322e-32 -9.407745740011352e-06 0.0 -6.539428737411744e-21 -5.678072590400286e-21 -1.2217501327812029e-20
0.4500000000000001 9.479554244393477e-06 1.777687920654422e-24 9.479554244393477e-06 1.0 0.0 0.0 0.0 0.0 -9.479554244393114e-06 -1.1779692359506443e-32 -9.479554244393114e-06 0.0 -6.642558813293074e-21 -5.968235776497078e-21 -1.2610794589790152e-20
0.47500000000000014 9.547327692980797e-06 1.7779614639894057e-24 9.547327692980797e-06 1.0 0.0 0.0 0.0 0.0 -9.547327692980077e-06 -1.1867538192246988e-32 -9.547327692980077e-06 0.0 -6.746199833407026e-21 -6.09900193737241e-21 -1.2845201770779437e-20
0.5000000000000001 9.611623156664787e-06 1.7782237677282606e-24 9.611623156664787e-06 1.0 0.0 0.0 0.0 0.0 -9.611623156677845e-06 -1.1951088425415956e-32 -9.611623156677845e-06 0.0 -6.850378994764972e-21 -6.4043492767408744e-21 -1.3254728271505846e-20
0.5250000000000001 9.672907903277708e-06 1.7784763027981136e-24 9.672907903277708e-06 1.0 0.0 0.0 0.0 0.0 -9.672907903277581e-06 -1.203092470114049e-32 -9.672907903277581e-06 0.0 -6.955122226829242e-21 -6.6920971961825125e-21 -1.3647219423011753e-20
0.5500000000000002 9.731580218758658e-06 1.7787203201232812e-24 9.731580218758658e-06 1.0 0.0 0.0 0.0 0.0 -9.73158021874519e-06 -1.210756149219475e-32 -9.73158021874519e-06 0.0 -7.06045581244222e-21 -6.86070654346945e-21 -1.392116235591167e-20
0.5750000000000002 9.787976465308552e-06 1.7789568756985965e-24 9.787976465308552e-06 1.0 0.0 0.0 0.0 0.0 -9.787976465308255e-06 -1.218139884984049e-32 -9.787976465308255e-06 0.0 -7.166407216738807e-21 -7.070599055239128e-21 -1.4237006271977935e-20
0.6000000000000002 9.842379806550071e-06 1.7791868599156307e-24 9.842379806550071e-06 1.0 0.0 0.0 0.0 0.0 -9.842379806563187e-06 -1.2252823916405359e-32 -9.842379806563187e-06 0.0 -7.273005481764176e-21 -7.352312216665044e-21 -1.4625317698429218e-20
0.6250000000000002 9.8950310662152e-06 1.7794110315907582e-24 9.8950310662152e-06 1.0 0.0 0.0 0.0 0.0 -9.895031066216976e-06 -1.2322105977583546e-32 -9.895031066216976e-06 0.0 -7.38028122534343e-21 -7.555178460085142e-21 -1.4935459685428573e-20
0.6500000000000002 9.946136287595788e-06 1.779630040902758e-24 9.946136287595788e-06 1.0 0.0 0.0 0.0 0.0 -9.946136287581326e-06 -1.2389522935215426e-32 -9.946136287581326e-06 0.0 -7.488266162334742e-21 -7.894811452942371e-21 -1.5383077615277113e-20
0.6750000000000003 9.995872024293083e-06 1.7798444455268394e-24 9.995872024293083e-06 1.0 0.0 0.0 0.0 0.0 -9.995872024290354e-06 -1.2455298266159036e-32 -9.995872024290354e-06 0.0 -7.596992313079587e-21 -8.042753123065493e-21 -1.563974543614508e-20
0.7000000000000003 1.0044389893880935e-05 1.7800547250355515e-24 1.0044389893880935e-05 1.0 0.0 0.0 0.0 0.0 -1.0044389893893695e-05 -1.2519632468516854e-32 -1.0044389893893695e-05 0.0 -7.706491087551504e-21 -8.253618151473843e-21 -1.5960109239025346e-20
0.7250000000000003 1.0091820408504378e-05 1.7802612932362076e-24 1.0091820408504378e-05 1.0 0.0 0.0 0.0 0.0 -1.0091820408504658e-05 -1.2582671574789614e-32 -1.0091820408504658e-05 0.0 -7.816792371767245e-21 -8.517514931805911e-21 -1.6334307303573156e-20
0.7500000000000003 1.013827615494529e-05 1.7804645083336312e-24 1.013827615494529e-05 1.0 0.0 0.0 0.0 0.0 -1.0138276154932762e-05 -1.2644581734162844e-32 -1.0138276154932762e-05 0.0 -7.927923734101744e-21 -8.650321085717417e-21 -1.6578244819819162e-20
0.7750000000000004 1.0183854506417177e-05 1.7806646813922795e-24 1.0183854506417177e-05 1.0 0.0 0.0 0.0 0.0 -1.0183854506418265e-05 -1.270546834281298e-32 -1.0183854506418265e-05 0.0 -8.039909865585796e-21 -9.0111595125788e-21 -1.7051069378164598e-20
0.8000000000000004 1.0228639975490922e-05 1.7808620836297126e-24 1.0228639975490922e-05 1.0 0.0 0.0 0.0 0.0 -1.0228639975504385e-05 -1.276544329787966e-32 -1.0228639975504385e-05 0.0 -8.15277235050396e-21 -9.151784507433591e-21 -1.730455685793755e-20
0.8250000000000004 1.0272706242289669e-05 1.7810569527159344e-24 1.0272706242289669e-05 1.0 0.0 0.0 0.0 0.0 -1.0272706242289157e-05 -1.2824612840694222e-32 -1.0272706242289157e-05 0.0 -8.266529824540323e-21 -9.413172600507024e-21 -1.7679702425047346e-20
0.8500000000000004 1.0316117859081421e-05 1.7812494979960465e-24 1.0316117859081421e-05 1.0 0.0 0.0 0.0 0.0 -1.0316117859067645e-05 -1.2883053812312127e-32 -1.0316117859067645e-05 0.0 -8.381198512601053e-21 -9.682258527730144e-21 -1.80634570403312e-20
0.8750000000000004 1.0358931665267429e-05 1.781439904743641e-24 1.0358931665267429e-05 1.0 0.0 0.0 0.0 0.0 -1.0358931665268105e-05 -1.2940841769886654e-32 -1.0358931665268105e-05 0.0 -8.496793058186741e-21 -9.874441624232526e-21 -1.8371234682419266e-20
0.9000000000000005 1.0401197956778876e-05 1.7816283376561017e-24 1.0401197956778876e-05 1.0 0.0 0.0 0.0 0.0 -1.0401197956790233e-05 -1.2998025401913497e-32 -1.0401197956790233e-05 0.0 -8.613327480267634e-21 -1.0057487887993119e-20 -1.8670815368260754e-20
0.9250000000000005 1.0442961450645878e-05 1.781814943722949e-24 1.0442961450645878e-05 1.0 0.0 0.0 0.0 0.0 -1.0442961450646288e-05 -1.3054689137489152e-32 -1.0442961450646288e-05 0.0 -8.730816049618416e-21 -1.0355392267828029e-20 -1.9086208317446444e-20
0.9500000000000005 1.0484262081977851e-05 1.7819998546325746e-24 1.0484262081977851e-05 1.0 0.0 0.0 0.0 0.0 -1.0484262081967256e-05 -1.311088077510937e-32 -1.0484262081967256e-05 0.0 -8.849273879986103e-21 -1.0575768112963251e-20 -1.9425041992949353e-20
0.9750000000000005 1.0525135657162612e-05 1.7821831888341687e-24 1.0525135657162612e-05 1.0 0.0 0.0 0.0 0.0 -1.0525135657164548e-05 -1.316663713394858e-32 -1.0525135657164548e-05 0.0 -8.968717081033334e-21 -1.0769346305957022e-20 -1.9738063386990357e-20
