v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.1 2.5982345504617313e-12 1.7114539997519797e-24 2.5982345504634426e-12 -0.1 0.0 0.0 0.0 0.0 -2.5982335438378465e-12 -9.620088359446488e-37 -2.5982335438378465e-12 0.0 -4.979335800253344e-21 -1.8937487658424987e-21 -6.873084566095843e-21
0.1 4.998771312291294e-12 1.7114419070323587e-24 4.998771312293005e-12 -0.07500000000000001 0.0 0.0 0.0 0.0 -4.998772136797489e-12 -1.0971024086372553e-36 -4.998772136797489e-12 0.0 -4.979607626974189e-21 -1.808876654546321e-21 -6.78848428152051e-21
0.1 9.614518574471349e-12 1.7114298606257892e-24 9.61451857447306e-12 -0.05000000000000001 0.0 0.0 0.0 0.0 -9.614519087509682e-12 -1.2450264673939598e-36 -9.614519087509682e-12 0.0 -4.9798910461654605e-21 -1.953069523639496e-21 -6.932960569804956e-21
0.1 1.8483977518103936e-11 1.711417866277647e-24 1.8483977518105648e-11 -0.02500000000000001 0.0 0.0 0.0 0.0 -1.848397744967653e-11 -1.406701239674851e-36 -1.848397744967653e-11 0.0 -4.980187321188283e-21 -1.791947400287021e-21 -6.772134721475304e-21
0.1 3.551248338734254e-11 1.7114059353342455e-24 3.5512483387344254e-11 -6.938893903907228e-18 0.0 0.0 0.0 0.0 -3.5512482788247134e-11 -1.60983132326006e-36 -3.5512482788247134e-11 0.0 -4.980498059528931e-21 -1.858143015058889e-21 -6.83864107458782e-21
0.1 6.816844506304243e-11 1.7113940898103033e-24 6.816844506304414e-11 0.024999999999999994 0.0 0.0 0.0 0.0 -6.816844554768522e-11 -1.863204467228862e-36 -6.816844554768522e-11 0.0 -4.98082537306092e-21 -1.8468920067672737e-21 -6.827717379828194e-21
0.1 1.307012218713297e-10 1.711382371998445e-24 1.307012218713314e-10 0.049999999999999996 0.0 0.0 0.0 0.0 -1.3070122254438694e-10 -2.1729391789471132e-36 -1.3070122254438694e-10 0.0 -4.981172140753388e-21 -1.974330613890487e-21 -6.955502754643875e-21
0.1 2.50215517400612e-10 1.7113708626041115e-24 2.502155174006137e-10 0.075 0.0 0.0 0.0 0.0 -2.502155170327295e-10 -2.590429281665796e-36 -2.502155170327295e-10 0.0 -4.981542440305833e-21 -1.8752466913327646e-21 -6.856789131638597e-21
0.1 4.780587103728293e-10 1.7113597147352326e-24 4.78058710372831e-10 0.1 0.0 0.0 0.0 0.0 -4.780587107498073e-10 -3.1859095967081864e-36 -4.780587107498073e-10 0.0 -4.981942255384068e-21 -1.962370164547858e-21 -6.944312419931925e-21
0.1 9.10952202708169e-10 1.7113492169667703e-24 9.109522027081707e-10 0.125 0.0 0.0 0.0 0.0 -9.109522024662259e-10 -4.084913283380775e-36 -9.109522024662259e-10 0.0 -4.982380626634753e-21 -1.8986944503700305e-21 -6.881075077004783e-21
0.1 1.7296003479828899e-09 1.711339908551797e-24 1.7296003479828916e-09 0.15 0.0 0.0 0.0 0.0 -1.729600347718486e-09 -5.522544900591791e-36 -1.729600347718486e-09 0.0 -4.982871502534993e-21 -1.8944456391581093e-21 -6.877317141693102e-21
0.1 3.2675112585450446e-09 1.711332784766543e-24 3.2675112585450462e-09 0.175 0.0 0.0 0.0 0.0 -3.2675112586070773e-09 -7.925191594984204e-36 -3.2675112586070773e-09 0.0 -4.983436641781148e-21 -1.8618609254958235e-21 -6.84529756727697e-21
0.1 6.128760957611124e-09 1.711329648261343e-24 6.128760957611126e-09 0.19999999999999998 0.0 0.0 0.0 0.0 -6.128760958202946e-09 -1.206005025659813e-35 -6.128760958202946e-09 0.0 -4.984109938533857e-21 -1.9013277480531778e-21 -6.885437686587035e-21
0.1 1.1375829613292679e-08 1.7113336694281313e-24 1.137582961329268e-08 0.22499999999999998 0.0 0.0 0.0 0.0 -1.137582961458389e-08 -1.926695524283478e-35 -1.137582961458389e-08 0.0 -4.9849432446887525e-21 -1.7844381272552194e-21 -6.769381371943972e-21
0.1 2.0793229268032323e-08 1.711350172812454e-24 2.0793229268032326e-08 0.24999999999999997 0.0 0.0 0.0 0.0 -2.0793229271782002e-08 -3.1777468708988393e-35 -2.0793229271782002e-08 0.0 -4.986012666377919e-21 -1.793923350351397e-21 -6.779936016729317e-21
0.1 3.717195829221146e-08 1.7113874855843366e-24 3.717195829221146e-08 0.27499999999999997 0.0 0.0 0.0 0.0 -3.717195830330648e-08 -5.30625981055357e-35 -3.717195830330648e-08 0.0 -4.9874219112346655e-21 -1.791443151136168e-21 -6.778865062370834e-21
0.1 6.443829624733825e-08 1.7114573217103443e-24 6.443829624733825e-08 0.3 0.0 0.0 0.0 0.0 -6.44382962474054e-08 -8.798460152484027e-35 -6.44382962474054e-08 0.0 -4.989296430035719e-21 -1.7884868997473272e-21 -6.777783329783046e-21
0.1 1.0735475258194901e-07 1.7115738902130467e-24 1.0735475258194901e-07 0.325 0.0 0.0 0.0 0.0 -1.0735475262799611e-07 -1.4238631851103938e-34 -1.0735475262799611e-07 0.0 -4.991763453304485e-21 -1.8465905919644983e-21 -6.838354045268983e-21
0.1 1.7067981763384496e-07 1.7117513902533993e-24 1.7067981763384496e-07 0.35000000000000003 0.0 0.0 0.0 0.0 -1.706798176926741e-07 -2.221040818438578e-34 -1.706798176926741e-07 0.0 -4.994923508586308e-21 -1.8906481306522014e-21 -6.88557163923851e-21
0.1 2.581228664706505e-07 1.712000896115455e-24 2.581228664706505e-07 0.37500000000000006 0.0 0.0 0.0 0.0 -2.581228664704396e-07 -3.316492455673254e-34 -2.581228664704396e-07 0.0 -4.998829865938316e-21 -1.929042795417954e-21 -6.92787266135627e-21
0.1 3.7167160862494155e-07 1.712328353613555e-24 3.7167160862494155e-07 0.4000000000000001 0.0 0.0 0.0 0.0 -3.716716086654546e-07 -4.733473279132334e-34 -3.716716086654546e-07 0.0 -5.003486286033949e-21 -1.9307598526808235e-21 -6.934246138714772e-21
0.1 5.115462018276137e-07 1.7127344443005235e-24 5.115462018276137e-07 0.4250000000000001 0.0 0.0 0.0 0.0 -5.115462018582725e-07 -6.474510319061093e-34 -5.115462018582725e-07 0.0 -5.008857716850133e-21 -1.8536921024802774e-21 -6.86254981933041e-21
0.1 6.765843928239147e-07 1.713215733025502e-24 6.765843928239147e-07 0.4500000000000001 0.0 0.0 0.0 0.0 -6.765843928428165e-07 -8.524438399388504e-34 -6.765843928428165e-07 0.0 -5.014883932147623e-21 -1.8700695518981725e-21 -6.884953484045795e-21
0.1 8.647439362282793e-07 1.713766163968789e-24 8.647439362282793e-07 0.47500000000000014 0.0 0.0 0.0 0.0 -8.647439362400132e-07 -1.0857899555051047e-33 -8.647439362400132e-07 0.0 -5.021491078217564e-21 -1.8743257026692498e-21 -6.895816780886814e-21
