v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.1 1.763331577193411e-12 1.7114539972690373e-24 1.7633315771951225e-12 -0.1 0.0 0.0 0.0 0.0 -1.7633308996494663e-12 -9.498775576419343e-37 -1.7633308996494663e-12 0.0 -4.9224815572771224e-21 -1.9100558118265568e-21 -6.83253736910368e-21
0.1 3.3769356831837375e-12 1.711441902209668e-24 3.376935683185449e-12 -0.07500000000000001 0.0 0.0 0.0 0.0 -3.376934659834596e-12 -1.0706700479992694e-36 -3.376934659834596e-12 0.0 -4.922769170691286e-21 -1.8533189255799695e-21 -6.776088096271256e-21
0.1 6.465762712592391e-12 1.7114298512633955e-24 6.465762712594102e-12 -0.05000000000000001 0.0 0.0 0.0 0.0 -6.465763375775162e-12 -1.2126313852707982e-36 -6.465763375775162e-12 0.0 -4.9230664867987316e-21 -1.9673685633418116e-21 -6.890435050140543e-21
0.1 1.2375143220903224e-11 1.711417848114915e-24 1.2375143220904934e-11 -0.02500000000000001 0.0 0.0 0.0 0.0 -1.2375143803177257e-11 -1.3733676039026603e-36 -1.2375143803177257e-11 0.0 -4.923374456933849e-21 -1.803547960261275e-21 -6.726922417195124e-21
0.1 2.3671711129894055e-11 1.711405900130933e-24 2.3671711129895768e-11 -6.938893903907228e-18 0.0 0.0 0.0 0.0 -2.3671710464149003e-11 -1.557370919437727e-36 -2.3671710464149003e-11 0.0 -4.923694408644008e-21 -1.8650226943319254e-21 -6.788717102975933e-21
0.1 4.524383993780607e-11 1.711394021656648e-24 4.524383993780778e-11 0.024999999999999994 0.0 0.0 0.0 0.0 -4.524384006915081e-11 -1.788514699145568e-36 -4.524384006915081e-11 0.0 -4.9240281308585125e-21 -1.8496124007662398e-21 -6.773640531624753e-21
0.1 8.638136156723463e-11 1.711382240242375e-24 8.638136156723633e-11 0.049999999999999996 0.0 0.0 0.0 0.0 -8.638136151594244e-11 -2.0649876385966693e-36 -8.638136151594244e-11 0.0 -4.924378072111241e-21 -1.9962879787950305e-21 -6.920666050906272e-21
0.1 1.646871494456224e-10 1.711370608350415e-24 1.646871494456241e-10 0.075 0.0 0.0 0.0 0.0 -1.6468714943747357e-10 -2.4188912366969866e-36 -1.6468714943747357e-10 0.0 -4.924747730838069e-21 -1.882920300543851e-21 -6.80766803138192e-21
0.1 3.1338382150146647e-10 1.7113592252173672e-24 3.133838215014682e-10 0.1 0.0 0.0 0.0 0.0 -3.1338382097361574e-10 -2.9065445987329045e-36 -3.1338382097361574e-10 0.0 -4.925142173751789e-21 -2.0118369642553287e-21 -6.936979138007117e-21
0.1 5.948241177951219e-10 1.7113482772692207e-24 5.948241177951237e-10 0.125 0.0 0.0 0.0 0.0 -5.948241170642709e-10 -3.596296059277748e-36 -5.948241170642709e-10 0.0 -4.925569062727244e-21 -1.9098166520323864e-21 -6.83538571475963e-21
0.1 1.1250810989214393e-09 1.711338111672216e-24 1.125081098921441e-09 0.15 0.0 0.0 0.0 0.0 -1.125081098201214e-09 -4.661726174481566e-36 -1.125081098201214e-09 0.0 -4.9260401478490565e-21 -1.9307062390271915e-21 -6.856746386876248e-21
0.1 2.117579115926028e-09 1.7113293668216812e-24 2.1175791159260294e-09 0.175 0.0 0.0 0.0 0.0 -2.1175791166122556e-09 -6.378273226008055e-36 -2.1175791166122556e-09 0.0 -4.926573688723367e-21 -1.892640808042539e-21 -6.819214496765905e-21
0.1 3.957273571215627e-09 1.7113231941748585e-24 3.957273571215628e-09 0.19999999999999998 0.0 0.0 0.0 0.0 -3.9572735713454675e-09 -9.2429605512389e-36 -3.9572735713454675e-09 0.0 -4.9271977320104436e-21 -1.9081547677842168e-21 -6.835352499794661e-21
