v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.0 -3.6456289336937656e-19 -5.733135752937205e-40 -3.6456289336937656e-19 0.9999999999999999 0.0 0.0 0.0 0.0 2.1794549090885227e-19 1.910160683333072e-39 2.1794549090885227e-19 0.0 -1.8519133262833233e-34 1.825414276032635e-23 1.8254142760141158e-23
0.1 9.20520510321187e-06 1.738573473928314e-24 9.20520510321187e-06 0.9999999999999999 0.0 0.0 0.0 0.0 -9.205205103211707e-06 -1.1373286718979852e-32 -9.205205103211707e-06 0.0 -5.98919586715845e-21 -2.0314446901293764e-21 -8.020640557287826e-21
0.2 1.6844935205682172e-05 1.79911686507488e-24 1.6844935205682172e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -1.684493520568228e-05 -2.093902621462103e-32 -1.684493520568228e-05 0.0 -6.749108933110365e-21 -3.400367221654858e-21 -1.0149476154765223e-20
0.30000000000000004 2.2982766094690084e-05 1.8194662377199023e-24 2.2982766094690084e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -2.2982766094689044e-05 -2.87244052629675e-32 -2.2982766094689044e-05 0.0 -7.341969932801872e-21 -4.538414023804258e-21 -1.188038395660613e-20
0.4 2.7772772954029735e-05 1.8349435606494685e-24 2.7772772954029735e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -2.7772772954041302e-05 -3.4876815106330164e-32 -2.7772772954041302e-05 0.0 -7.903557485739867e-21 -5.801919088091991e-21 -1.3705476573831858e-20
0.5 3.148238054909143e-05 1.8470515710818833e-24 3.148238054909143e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -3.1482380549091657e-05 -3.9699617763712105e-32 -3.1482380549091657e-05 0.0 -8.448641323856476e-21 -6.904430846621384e-21 -1.535307217047786e-20
0.6 3.443881780862762e-05 1.8567982087916704e-24 3.443881780862762e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -3.443881780861369e-05 -4.3588867097837606e-32 -3.443881780861369e-05 0.0 -8.98796113475387e-21 -7.898620086390385e-21 -1.6886581221144256e-20
0.7 3.6918644959399704e-05 1.8650438350160445e-24 3.6918644959399704e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -3.691864495939976e-05 -4.688938050785616e-32 -3.691864495939976e-05 0.0 -9.529609116281326e-21 -9.03004953175943e-21 -1.8559658648040756e-20
0.7999999999999999 3.9098135444516426e-05 1.8723425888067542e-24 3.9098135444516426e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -3.909813544452955e-05 -4.982449612377515e-32 -3.909813544452955e-05 0.0 -1.007876562248895e-20 -9.924294584089207e-21 -2.0003060206578156e-20
0.8999999999999999 4.1077567715502125e-05 1.8790113048193944e-24 4.1077567715502125e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -4.107756771550115e-05 -5.252276613663465e-32 -4.107756771550115e-05 0.0 -1.0638630189229137e-20 -1.0821775954721538e-20 -2.1460406143950673e-20
0.9999999999999999 4.291485294654071e-05 1.8852334259104916e-24 4.291485294654071e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -4.291485294652522e-05 -5.505945982106904e-32 -4.291485294652522e-05 0.0 -1.1211253242457668e-20 -1.1779028655152125e-20 -2.2990281897609792e-20
