v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.1 3.411382432178866e-12 1.711454002179965e-24 3.4113824321805773e-12 -0.1 0.0 0.0 0.0 0.0 -3.4113830072139605e-12 -1.2505562850143e-36 -3.4113830072139605e-12 0.0 -5.7212113830874126e-21 -1.8822794703325722e-21 -7.603490853419985e-21
0.1 4.5657944924464603e-11 1.71140596561805e-24 4.5657944924466316e-11 0.0 0.0 0.0 0.0 0.0 -4.5657946131099135e-11 -2.0614706140984972e-36 -4.5657946131099135e-11 0.0 -5.722158656015395e-21 -2.066088043252783e-21 -7.788246699268177e-21
0.1 6.010732117683738e-10 1.7113600818112936e-24 6.010732117683756e-10 0.1 0.0 0.0 0.0 0.0 -6.010732106256306e-10 -3.9963644258778504e-36 -6.010732106256306e-10 0.0 -5.7233115563839505e-21 -1.999934658481141e-21 -7.723246214865092e-21
0.1 7.533877903261944e-09 1.7113338397810485e-24 7.533877903261946e-09 0.2 0.0 0.0 0.0 0.0 -7.533877903381793e-09 -1.4834626790997453e-35 -7.533877903381793e-09 0.0 -5.72507796498814e-21 -1.8326497712432585e-21 -7.557727736231399e-21
0.1 7.863921884484103e-08 1.7114996758738627e-24 7.863921884484103e-08 0.30000000000000004 0.0 0.0 0.0 0.0 -7.863921884518401e-08 -1.0735231109461006e-34 -7.863921884518401e-08 0.0 -5.729840321519304e-21 -1.8384497990294653e-21 -7.56829012054877e-21
0.1 4.7602320870444987e-07 1.7126397168346073e-24 4.7602320870444987e-07 0.4 0.0 0.0 0.0 0.0 -4.7602320870422445e-07 -6.058599496216804e-34 -4.7602320870422445e-07 0.0 -5.7453400629263495e-21 -1.8269768057292247e-21 -7.572316868655575e-21
0.1 1.4669385637153887e-06 1.7155536247955156e-24 1.4669385637153887e-06 0.5 0.0 0.0 0.0 0.0 -1.4669385637184672e-06 -1.8359233933864554e-33 -1.4669385637184672e-06 0.0 -5.776777602970411e-21 -1.9350595474419376e-21 -7.71183715041235e-21
0.1 2.9145318993142543e-06 1.7198385876521375e-24 2.9145318993142543e-06 0.6 0.0 0.0 0.0 0.0 -2.914531899313335e-06 -3.625602428709785e-33 -2.914531899313335e-06 0.0 -5.819000193368893e-21 -1.9148303150094776e-21 -7.733830508378372e-21
0.1 4.539312755875486e-06 1.7246638653807294e-24 4.539312755875486e-06 0.7 0.0 0.0 0.0 0.0 -4.539312755874609e-06 -5.630261958559643e-33 -4.539312755874609e-06 0.0 -5.864447316713595e-21 -2.107836546998149e-21 -7.972283863711745e-21
0.1 6.166796596667997e-06 1.7295079971732896e-24 6.166796596667997e-06 0.7999999999999999 0.0 0.0 0.0 0.0 -6.166796596680493e-06 -7.635534158086023e-33 -6.166796596680493e-06 0.0 -5.9087672509985466e-21 -2.1110926115708655e-21 -8.019859862569412e-21
